CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;0
INFLOW;PRECIPITATION;Snowfall;0
INFLOW;PRECIPITATION;Precipitation recycling;0
INFLOW;SURFACE WATER;Main riverstem;0
INFLOW;SURFACE WATER;Tributaries;0
INFLOW;SURFACE WATER;Utilized surface water;0
INFLOW;SURFACE WATER;Flood;0
INFLOW;GROUNDWATER;Natural;0
INFLOW;GROUNDWATER;Utilized;0
INFLOW;OTHER;Desalinized;0
STORAGE;CHANGE;Surface storage;0
STORAGE;CHANGE;Storage in sinks;0
OUTFLOW;ET LANDSCAPE;Protected;0
OUTFLOW;ET LANDSCAPE;Utilized;0
OUTFLOW;ET LANDSCAPE;Modified;0
OUTFLOW;ET LANDSCAPE;Managed;0
OUTFLOW;ET UTILIZED FLOW;Protected;0
OUTFLOW;ET UTILIZED FLOW;Utilized;0
OUTFLOW;ET UTILIZED FLOW;Modified;0
OUTFLOW;ET UTILIZED FLOW;Managed;0
OUTFLOW;ET INCREMENTAL;Manmade;0
OUTFLOW;ET INCREMENTAL;Natural;0
OUTFLOW;SURFACE WATER;Main riverstem;0
OUTFLOW;SURFACE WATER;Tributaries;0
OUTFLOW;SURFACE WATER;Utilized surface water;0
OUTFLOW;SURFACE WATER;Flood;0
OUTFLOW;SURFACE WATER;Interbasin transfer;0
OUTFLOW;GROUNDWATER;Natural;0
OUTFLOW;GROUNDWATER;Utilized;0
OUTFLOW;OTHER;Non-utilizable;0
OUTFLOW;OTHER;Other;0
OUTFLOW;RESERVED;Commited;0
OUTFLOW;RESERVED;Navigational;0
OUTFLOW;RESERVED;Environmental;0
